"#","Reference","Qty","Value","Footprint","DNP","Mfr","MfrNo","MouserNo"
"1","J1","1","IDC_02x04","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical","","","","649-75869-232LF"
"2","J2","1","DB15HD_Female","AppleVGA-Connector:DSUB-15HD_TE_Connectivity_2311586-4","","TE Connectivity","2311586-4","571-2311586-4"
